game_num,away_team,home_team,away_score,home_score
456,KCM,BKN,2,3
457,OAK,BOS,1,7
458,OKC,CLE,1,4
459,CHR,DET,4,1
460,HOU,PHI,0,3
461,PIT,BOS,9,2
462,BKN,CLE,2,3
463,WAS,DET,7,3
464,NYC,PHI,3,1
465,SDT,SFN,3,1
466,LAP,KCM,5,1
467,CHR,OAK,6,4
468,HOU,OKC,1,5
469,PIT,BOS,5,4
470,BKN,CLE,0,1
471,WAS,DET,3,2
472,NYC,PHI,4,3
473,SDT,SFN,8,0
474,LAP,KCM,0,7
475,CHR,OAK,4,5
476,HOU,OKC,4,7
477,PIT,BOS,1,2
478,BKN,CLE,3,7
479,WAS,DET,1,2
480,NYC,PHI,0,3
481,SDT,SFN,2,1
482,LAP,KCM,3,5
483,CHR,OAK,4,6
484,HOU,OKC,2,3
485,PIT,BOS,0,6
486,BKN,CLE,2,1
487,WAS,DET,1,3
488,NYC,PHI,2,5
489,SDT,SFN,9,4
490,LAP,KCM,0,1
491,CHR,OAK,1,3
492,HOU,OKC,1,5
493,WAS,PIT,4,0
494,NYC,BKN,1,2
495,BOS,DET,3,6
496,CLE,PHI,3,4
497,CHR,SDT,4,5
498,HOU,LAP,7,6
499,SFN,OAK,1,2
500,KCM,OKC,2,4
501,WAS,PIT,5,3
502,NYC,BKN,3,5
503,BOS,DET,2,5
504,CLE,PHI,0,4
505,CHR,SDT,9,3
506,HOU,LAP,3,1
507,SFN,OAK,3,5
508,KCM,OKC,3,5
509,WAS,PIT,6,1
510,NYC,BKN,2,5
511,BOS,DET,4,2
512,CLE,PHI,2,3
513,CHR,SDT,2,5
514,HOU,LAP,4,0
515,SFN,OAK,4,1
516,KCM,OKC,3,2
517,PHI,WAS,2,4
518,DET,NYC,3,4
519,PIT,CLE,2,1
520,SFN,LAP,4,0
521,PHI,WAS,4,2
522,DET,NYC,0,9
523,BOS,BKN,1,3
524,PIT,CLE,2,1
525,OKC,CHR,6,4
526,OAK,HOU,2,5
527,SFN,LAP,0,4
528,SDT,KCM,1,0
529,PHI,WAS,1,2
530,DET,NYC,0,4
531,BOS,BKN,4,1
532,PIT,CLE,2,6
533,OKC,CHR,2,6
534,OAK,HOU,2,3
535,SFN,LAP,5,3
536,SDT,KCM,2,5
537,PHI,WAS,7,2
538,BOS,BKN,2,5
539,OKC,CHR,1,6
540,OAK,HOU,5,4
541,SDT,KCM,0,2
542,BKN,WAS,7,3
543,PIT,NYC,2,1
544,PHI,BOS,3,4
545,DET,CLE,1,5
546,LAP,CHR,5,1
547,SDT,HOU,2,5
548,OKC,SFN,0,2
549,OAK,KCM,6,1
550,BKN,WAS,2,4
551,PIT,NYC,1,5
552,PHI,BOS,1,3
553,DET,CLE,1,3
554,LAP,CHR,0,5
555,SDT,HOU,7,0
556,OKC,SFN,2,3
557,OAK,KCM,0,1
558,BKN,WAS,2,5
559,PIT,NYC,1,3
560,PHI,BOS,2,4
561,DET,CLE,4,1
562,LAP,CHR,4,0
563,SDT,HOU,3,5
564,OKC,SFN,5,1
565,OAK,KCM,2,1
566,OKC,NYC,0,2
567,CHR,PIT,2,0
568,LAP,CLE,4,2
569,OAK,WAS,1,3
570,OKC,NYC,1,4
571,CHR,PIT,6,2
572,HOU,BKN,3,1
573,SDT,BOS,1,7
574,LAP,CLE,1,2
575,SFN,DET,2,6
576,KCM,PHI,2,1
577,OAK,WAS,5,3
578,OKC,NYC,6,2
579,CHR,PIT,3,2
580,HOU,BKN,3,7
581,SDT,BOS,4,3
582,LAP,CLE,1,4
583,SFN,DET,1,5
584,KCM,PHI,1,4
585,OAK,WAS,7,3
586,HOU,BKN,10,2
587,SDT,BOS,0,8
588,SFN,DET,0,2
589,KCM,PHI,3,2
590,BKN,CHR,5,2
591,PIT,HOU,5,1
592,CLE,SDT,2,5
593,BOS,LAP,0,2
594,PHI,SFN,4,1
595,DET,KCM,4,2
596,NYC,OAK,5,4
597,WAS,OKC,2,5
598,BKN,CHR,0,2
599,PIT,HOU,4,1
600,CLE,SDT,2,1
601,BOS,LAP,1,4
602,PHI,SFN,5,1
603,DET,KCM,3,4
604,NYC,OAK,4,6
605,WAS,OKC,2,1
606,BKN,CHR,3,5
607,PIT,HOU,1,5
608,CLE,SDT,4,6
609,BOS,LAP,1,2
610,PHI,SFN,5,1
611,DET,KCM,1,4
612,NYC,OAK,0,8
613,WAS,OKC,2,5
614,WAS,CLE,0,2
615,BKN,DET,4,1
616,PIT,PHI,3,5
617,HOU,SFN,2,5
618,SDT,OKC,4,7
619,NYC,BOS,0,3
620,WAS,CLE,2,4
621,BKN,DET,3,0
622,PIT,PHI,1,5
623,HOU,SFN,1,4
624,CHR,KCM,5,2
625,LAP,OAK,1,2
626,SDT,OKC,3,2
627,NYC,BOS,1,2
628,WAS,CLE,2,4
629,BKN,DET,3,2
630,PIT,PHI,3,0
631,HOU,SFN,1,5
632,CHR,KCM,2,3
633,LAP,OAK,0,2
634,SDT,OKC,5,2
635,NYC,BOS,2,5
636,CHR,KCM,6,3
637,LAP,OAK,0,1
638,DET,WAS,1,2
639,BOS,PIT,5,1
640,CLE,BKN,3,4
641,NYC,PHI,0,7
642,OAK,CHR,0,2
643,OKC,HOU,2,3
644,SFN,SDT,3,2
645,KCM,LAP,0,4
646,DET,WAS,1,5
647,BOS,PIT,2,3
648,CLE,BKN,6,0
649,NYC,PHI,2,1
650,OAK,CHR,5,4
651,OKC,HOU,1,5
652,SFN,SDT,1,2
653,KCM,LAP,0,1
654,DET,WAS,3,2
655,BOS,PIT,3,4
656,CLE,BKN,1,5
657,NYC,PHI,6,3
658,OAK,CHR,0,3
659,OKC,HOU,3,2
660,SFN,SDT,4,3
661,KCM,LAP,4,1
662,PIT,WAS,6,2
663,BKN,NYC,2,1
664,DET,BOS,2,3
665,PHI,CLE,3,4
666,SDT,CHR,5,1
667,LAP,HOU,2,4
668,OAK,SFN,1,4
669,KCM,OKC,2,1
670,PIT,WAS,3,2
671,BKN,NYC,1,2
672,DET,BOS,5,0
673,PHI,CLE,2,4
674,SDT,CHR,3,5
675,LAP,HOU,0,4
676,OAK,SFN,0,3
677,KCM,OKC,8,1
678,PIT,WAS,2,4
679,BKN,NYC,5,3
680,DET,BOS,3,1
681,PHI,CLE,2,1
682,SDT,CHR,5,4
683,LAP,HOU,6,2
684,OAK,SFN,2,5
685,KCM,OKC,1,5
686,CLE,NYC,0,6
687,WAS,BOS,1,4
688,KCM,HOU,1,2
689,OKC,LAP,4,1
690,CLE,NYC,4,1
691,DET,PIT,2,11
692,WAS,BOS,1,4
693,BKN,PHI,2,5
694,SFN,CHR,0,4
695,KCM,HOU,1,5
696,OAK,SDT,2,6
697,OKC,LAP,3,1
698,CLE,NYC,3,1
699,DET,PIT,6,3
700,WAS,BOS,3,5
701,BKN,PHI,11,1
702,SFN,CHR,6,3
703,KCM,HOU,2,3
704,OAK,SDT,4,5
705,OKC,LAP,2,5
706,CLE,NYC,1,7
707,DET,PIT,2,1
708,WAS,BOS,2,1
709,BKN,PHI,3,4
710,SFN,CHR,5,2
711,KCM,HOU,0,6
712,OAK,SDT,4,6
713,OKC,LAP,3,4
714,PIT,BKN,0,3
715,BOS,CLE,3,4
716,DET,PHI,6,1
717,CHR,HOU,3,1
718,SDT,LAP,5,1
719,SFN,KCM,0,3
720,NYC,WAS,1,7
721,PIT,BKN,4,6
722,BOS,CLE,1,2
723,DET,PHI,0,2
724,CHR,HOU,5,1
725,SDT,LAP,1,5
726,SFN,KCM,1,2
727,OKC,OAK,1,3
728,NYC,WAS,2,1
729,PIT,BKN,3,4
730,BOS,CLE,4,1
731,DET,PHI,1,6
732,CHR,HOU,5,4
733,SDT,LAP,0,2
734,SFN,KCM,3,5
735,OKC,OAK,6,1
736,NYC,WAS,3,0
737,PIT,BKN,2,5
738,BOS,CLE,4,3
739,DET,PHI,5,0
740,CHR,HOU,10,1
741,SDT,LAP,6,0
742,SFN,KCM,2,5
743,OKC,OAK,7,2
744,HOU,WAS,2,5
745,CHR,NYC,3,1
746,SDT,BKN,1,3
747,KCM,BOS,3,1
748,OKC,DET,2,4
749,OAK,PHI,3,2
750,HOU,WAS,2,5
751,CHR,NYC,4,2
752,LAP,PIT,0,3
753,SDT,BKN,4,2
754,KCM,BOS,1,5
755,SFN,CLE,1,2
756,OKC,DET,2,3
757,OAK,PHI,5,1
758,HOU,WAS,8,0
759,CHR,NYC,0,8
760,LAP,PIT,1,4
761,SDT,BKN,3,5
762,KCM,BOS,0,1
763,SFN,CLE,0,8
764,OKC,DET,0,5
765,OAK,PHI,4,5
766,LAP,PIT,1,2
767,SFN,CLE,0,2
768,CHR,WAS,6,2
769,HOU,NYC,5,1
770,SDT,PIT,1,2
771,LAP,BKN,1,3
772,SFN,BOS,2,6
773,KCM,CLE,3,2
774,OAK,DET,5,3
775,OKC,PHI,5,1
776,CHR,WAS,8,0
777,HOU,NYC,5,1
778,SDT,PIT,12,4
779,LAP,BKN,2,4
780,SFN,BOS,2,1
781,KCM,CLE,1,2
782,OAK,DET,1,2
783,OKC,PHI,4,1
784,CHR,WAS,0,1
785,HOU,NYC,2,5
786,SDT,PIT,3,5
787,LAP,BKN,4,1
788,SFN,BOS,0,3
789,KCM,CLE,4,1
790,OAK,DET,2,1
791,OKC,PHI,1,6
792,PHI,NYC,0,4
793,PIT,BOS,2,3
794,BKN,CLE,2,3
795,WAS,DET,1,2
796,SDT,SFN,4,1
797,LAP,KCM,8,0
798,CHR,OAK,6,1
799,HOU,OKC,6,3
